step,loss
0,546157.2981630461
1,8.87492716491397
2,15.078281305795826
3,19.426586783116363
4,22.659168163525464
5,25.200269245520758
6,27.278301796406595
7,29.024401869100984
8,30.519755563218496
9,31.818037740682485
10,32.956737007174524
11,33.963237880321685
12,34.858257306761516
13,35.657918040546065
14,36.375109372253064
15,37.02028744562267
16,37.60212213374325
17,38.1278922468191
18,38.60378361943003
19,39.035105596827634
20,39.42646674227581
21,39.781880202688626
22,40.104880712227896
23,40.39859099069872
24,40.6657961484234
25,40.90896706073545
26,41.13033924208139
27,41.33189733886684
28,41.51545044517843
29,41.682609179501014
30,41.83484940787457
31,41.97350913043192
32,42.099798293202184
33,42.214818324981024
34,42.31955595272302
35,42.41493469711713
36,42.501772775103746
37,42.58083370816894
38,42.65281593288819
39,42.71832695498597
40,42.77794643469679
41,42.83219665319484
42,42.881545080119395
43,42.92639246181352
44,42.96723194277729
45,43.00437814874749
46,43.038152937209816
47,43.06885424180655
48,43.09675819656695
49,43.12212155699672
50,43.14517825079383
51,43.16611974843545
52,43.18514170064009
53,43.20242612846778
54,43.21812541426334
55,43.23237279895693
56,43.24530814914033
57,43.25705508800456
58,43.267708541825414
59,43.277383498396375
60,43.28616048605181
61,43.29413435267634
62,43.30135969381081
63,43.30791705251613
64,43.31386104953708
65,43.31925494983443
66,43.32413608281058
67,43.32855814215145
68,43.332571047591045
69,43.33620244634221
70,43.3394984369952
71,43.34248198718706
72,43.34517609473551
73,43.347620115368045
74,43.349822568387026
75,43.35182277360582
76,43.35363611353387
77,43.35527116509911
78,43.356738598420634
79,43.35808131407248
80,43.35928422669531
81,43.36036728072213
82,43.36134975978348
83,43.362235353226424
84,43.36304046159785
85,43.363765073605464
86,43.364405401589465
87,43.36498620493512
88,43.36550391819037
89,43.3659754430264
90,43.3663944046566
91,43.36677495850017
92,43.36711050711165
93,43.367413504442084
94,43.36768665688578
95,43.36792439038982
96,43.36814969826082
97,43.36831665148202
98,43.36847962376487
99,43.36859191689291
100,43.36872618243797
